sp,pop
moreaui,Ndundulu
moreaui,Mafwemiro
fuelleborni,Rungwe
fuelleborni,Nyumbanitu
fuelleborni,Njesi
fuelleborni,Mufindi
fuelleborni,Mufindi
moreaui,Mamirwa
fuelleborni,Ikokoto
fuelleborni,Kihulula
fuelleborni,Mufindi
fuelleborni,Nyumbanitu
fuelleborni,Mufindi
fuelleborni,Kihulula
fuelleborni,Ikokoto
fuelleborni,Nyumbanitu
moreaui,Mamirwa
moreaui,Mafwemiro
moreaui,Ndundulu
fuelleborni,Ikokoto
fuelleborni,Nyumbanitu
fuelleborni,Rungwe
moreaui,Mamirwa
moreaui,Image
moreaui,Selebu
fuelleborni,Ikokoto
fuelleborni,Kihulula
moreaui,Ndundulu
moreaui,Nguru
fuelleborni,Nyumbanitu
fuelleborni,Ikokoto
fuelleborni,Njesi
fuelleborni,Nyumbanitu
fuelleborni,Nyumbanitu
fuelleborni,Nyumbanitu
fuelleborni,Mufindi
moreaui,Nguru
fuelleborni,Nyumbanitu
fuelleborni,Njesi
moreaui,Ndundulu
moreaui,Selebu
moreaui,Nyumbanitu
moreaui,Image
moreaui,Mafwemiro
fuelleborni,Ikokoto
moreaui,Mamirwa
moreaui,Ndundulu
moreaui,Selebu
fuelleborni,Mufindi
moreaui,Mamirwa
moreaui,Ndundulu
moreaui,Nguru
fuelleborni,Idetero
moreaui,Ndundulu
moreaui,Image
moreaui,Ndundulu
moreaui,Ndundulu
moreaui,Image
fuelleborni,Njesi
fuelleborni,Rungwe
fuelleborni,Nyumbanitu
fuelleborni,Ikokoto
fuelleborni,Ikokoto
fuelleborni,Nyumbanitu
fuelleborni,Ikokoto
fuelleborni,Mufindi
moreaui,Mamirwa
fuelleborni,Idetero
moreaui,Mafwemiro
moreaui,Nguru
fuelleborni,Ikokoto
fuelleborni,Rungwe
fuelleborni,Ikokoto
fuelleborni,Rungwe
fuelleborni,Nyumbanitu
moreaui,Ndundulu
fuelleborni,Idetero
moreaui,Ndundulu
moreaui,Ndundulu
moreaui,Image
moreaui,Selebu
moreaui,Nguru
fuelleborni,Kihulula
moreaui,Ndundulu
moreaui,Mamirwa
fuelleborni,Nyumbanitu
fuelleborni,Ikokoto
moreaui,Ndundulu
fuelleborni,Ikokoto
fuelleborni,Njesi
moreaui,Ndundulu
fuelleborni,Mufindi
moreaui,Nguru
moreaui,Image
mediocris,Gataraqwa
mediocris,Gataraqwa
mediocris,Gataraqwa
mediocris,Gataraqwa
mediocris,Gataraqwa
mbuluensis,Mbulu
mediocris,Gataraqwa
mbuluensis,Mbulu
mediocris,Gataraqwa
mediocris,Gataraqwa
mbuluensis,Mbulu
mediocris,AberdaresNP
mbuluensis,Kilimanjaro
mbuluensis,Mbulu
mbuluensis,Mbulu
mediocris,Gataraqwa
mediocris,AberdaresNP
usambarica,Mazumbai
mbuluensis,Mbulu
mbuluensis,Mbulu
usambarica,Mazumbai
mediocris,MtKenya
mediocris,MtKenya
mediocris,MtKenya
usambarica,Mazumbai
usambarica,Mazumbai
mediocris,MtKenya
mediocris,MtKenya
loveridgei,Uluguru
usambarica,Mazumbai
usambarica,Mazumbai
usambarica,Mazumbai
usambarica,Mazumbai
usambarica,Mazumbai
usambarica,Mazumbai
mbuluensis,Ngorongoro
usambarica,Mazumbai
mediocris,Ol Doinyo Sabuk
usambarica,Shengena
loveridgei,Uluguru
loveridgei,Uluguru
loveridgei,Uluguru
loveridgei,Uluguru
loveridgei,Uluguru
loveridgei,Uluguru
fuelleborni,Namuli
fuelleborni,Namuli
fuelleborni,Namuli
